lat,long,hex,timestamp
-33.47556128050992,-70.65969950734274,89b2c554a13ffff,2020-01-01 11:06:07.667477
-33.430189977110494,-70.67562684012945,89b2c554003ffff,2020-01-01 21:51:42.584104
-33.45464531301056,-70.67563952037852,89b2c55433bffff,2020-01-01 10:06:43.224128
-33.45446151839377,-70.64465620936298,89b2c554eb7ffff,2020-01-01 08:36:29.383562
-33.4499325093833,-70.67966768467123,89b2c554303ffff,2020-01-01 10:24:28.221271
-33.43734959743863,-70.63638659158322,89b2c556a6fffff,2020-01-01 20:11:12.297463
-33.44636637084579,-70.66001665259468,89b2c554163ffff,2020-01-01 11:33:26.682023
-33.45920701282733,-70.64990456509226,89b2c554eabffff,2020-01-01 22:04:26.438558
-33.45826385689441,-70.67221381058742,89b2c55432fffff,2020-01-01 16:40:09.554328
-33.45628951251446,-70.66213770889155,89b2c554ecfffff,2020-01-01 07:06:40.029934
-33.441860941812074,-70.6767716727643,89b2c55439bffff,2020-01-01 08:32:20.435273
-33.473870983370325,-70.66619144501483,89b2c554ac3ffff,2020-01-01 12:03:59.729880
-33.44239920454667,-70.64906830749867,89b2c554133ffff,2020-01-01 12:41:10.454433
-33.47137155575127,-70.64008018257962,89b2c554873ffff,2020-01-01 07:00:57.328138
-33.433010538215036,-70.67908732148675,89b2c554073ffff,2020-01-01 11:07:50.531195
-33.45085713439957,-70.67200184685635,89b2c554333ffff,2020-01-01 10:41:39.864404
-33.46599401454642,-70.66347218916907,89b2c554e7bffff,2020-01-01 17:33:34.953683
-33.446519512027244,-70.64366125018816,89b2c554c53ffff,2020-01-01 14:47:27.436887
-33.45191483278395,-70.63175679652791,89b2c554c3bffff,2020-01-01 11:32:46.731864
-33.46796732662244,-70.66988897903711,89b2c555da3ffff,2020-01-01 17:54:39.656227
-33.45232910423329,-70.64999688576965,89b2c554e87ffff,2020-01-01 08:12:34.595373
-33.469828042825505,-70.6772840562564,89b2c555d07ffff,2020-01-01 18:22:40.949460
-33.46801065811923,-70.63097615641959,89b2c5548abffff,2020-01-01 11:53:59.793204
-33.47092227791033,-70.6456053677428,89b2c554843ffff,2020-01-01 11:03:12.802472
-33.46354567184677,-70.63289682170175,89b2c55488fffff,2020-01-01 16:46:37.281703
-33.449433786874934,-70.66584432830214,89b2c5543a7ffff,2020-01-01 18:30:42.047817
-33.437583573970194,-70.64503266728721,89b2c5541a3ffff,2020-01-01 22:35:20.165299
-33.470992843086606,-70.67177141848903,89b2c555dafffff,2020-01-01 13:01:22.336462
-33.443190327839766,-70.63284855390208,89b2c554c8bffff,2020-01-01 21:33:11.063603
-33.436643367210635,-70.67234227635424,89b2c55402bffff,2020-01-01 07:42:11.094125
-33.441056278535065,-70.6534256663909,89b2c554107ffff,2020-01-01 07:47:43.861456
-33.47084424657465,-70.62888837196193,89b2c554833ffff,2020-01-01 15:56:03.819321
-33.462816025428396,-70.67011543711988,89b2c554e4bffff,2020-01-01 08:53:25.744072
-33.46405839641489,-70.66631782506909,89b2c554e4fffff,2020-01-01 09:01:24.851013
-33.47189591483951,-70.65040892477136,89b2c55484bffff,2020-01-01 13:43:35.865185
-33.47083085131966,-70.63915164521569,89b2c55480bffff,2020-01-01 16:20:04.000233
-33.45778057645242,-70.67596561572812,89b2c555d93ffff,2020-01-01 12:46:30.139442
-33.437925822019224,-70.66455628731137,89b2c554153ffff,2020-01-01 09:17:39.929693
-33.47521428256144,-70.6528919504406,89b2c554abbffff,2020-01-01 08:05:25.238581
-33.44390249176335,-70.67091848790999,89b2c554387ffff,2020-01-01 09:56:03.917985
-33.46281427512798,-70.65995141005158,89b2c554e73ffff,2020-01-01 15:31:26.173954
-33.44408103637242,-70.64681337406519,89b2c554137ffff,2020-01-01 09:50:17.670527
-33.44186512831103,-70.66384593470491,89b2c554147ffff,2020-01-01 16:28:21.372524
-33.47447330646499,-70.67125252324998,89b2c555d37ffff,2020-01-01 12:00:33.994334
-33.47767559638259,-70.67674400169837,89b2c555d2fffff,2020-01-01 19:08:08.944707
-33.46540783934645,-70.62891121638162,89b2c5548bbffff,2020-01-01 09:24:27.013704
-33.42817038470684,-70.67069732673443,89b2c5540abffff,2020-01-01 08:22:01.210243
-33.46973254864058,-70.66513490173237,89b2c554ad3ffff,2020-01-01 07:31:50.475530
-33.46715659499317,-70.65263404916291,89b2c554e2fffff,2020-01-01 11:39:50.608513
-33.461591438101614,-70.67489327585665,89b2c555d83ffff,2020-01-01 07:28:01.317034
-33.44152490907715,-70.63876726385269,89b2c554cd7ffff,2020-01-01 08:06:49.189018
-33.44045288566695,-70.64082377968592,89b2c554cd3ffff,2020-01-01 22:47:57.742872
-33.448035542817095,-70.65965262333705,89b2c55416fffff,2020-01-01 14:26:56.718789
